x,y,z
45.254,1.1960001,78.16801
45.120003,1.3640001,78.93
44.572002,2.16,81.060005
43.984,2.8240001,81.87
44.24,2.332,80.856
31.758001,24.948002,134.828
31.786001,25.016,135.026
31.440002,24.788002,135.084
32.758003,25.550001,135.794
33.808002,26.008001,136.248
32.58,25.408,136.188
42.222,22.522001,7.7840004
41.518,22.452002,7.7920003
41.780003,22.414001,7.662
42.336002,22.602001,7.9600005
42.024002,22.542002,7.9080005
21.59,49.668003,150.61801
21.904001,49.88,151.52
21.920002,49.872,150.53801
22.056002,49.956,154.434
21.946001,49.866,155.33401
22.718,50.288002,154.242
10.206,50.736004,108.092
9.692,50.264004,108.392006
10.424001,50.776,108.27601
9.632001,50.142002,108.59601
9.812,50.068,109.046005
9.884001,50.192,108.80601
37.524002,15.246,54.182003
37.440002,14.774001,54.276
37.514,14.798,53.95
37.24,14.102,54.804
37.104,13.744,55.012
37.326,14.030001,54.126003
24.924002,39.564003,187.03401
25.032001,40.058002,186.62001
24.768002,39.602,186.906
25.542002,39.004,188.56401
25.69,38.896004,188.94601
25.572,39.410004,188.014
52.708004,22.070002,114.23601
52.036003,20.468,113.71001
52.198,20.960001,113.774
51.824,20.346,113.79001
32.448,14.77,189.802
32.622,15.4140005,190.61002
32.594,15.090001,190.436
32.924,16.112001,192.05402
33.004,16.364,192.55801
33.054,15.936001,192.50002
50.402004,36.302002,180.67601
50.214,36.24,180.942
50.388,36.234,181.03401
49.986004,36.206,181.858
50.176003,36.176003,181.604
49.856003,36.178,181.61002
33.656002,16.232,203.91402
33.800003,16.560001,203.98201
33.74,16.278,204.02602
34.332,18.482,205.89401
34.308002,17.888,205.56601
34.398003,18.516,205.55202
3.4640002,26.470001,99.102005
3.4980001,26.150002,99.34801
3.1820002,26.296001,99.564
3.6000001,27.658,98.79401
3.7700002,27.866001,98.630005
3.9800003,27.750002,98.398
49.688004,59.794003,4.306
49.808002,60.070004,3.9740002
48.802002,60.272003,3.9440002
47.33,60.048004,4.952
48.192,59.904003,4.616
47.926003,60.15,4.472
52.762,24.268002,114.646
52.394,23.288002,114.392006
52.484,23.12,114.368004
52.850002,23.348001,114.622
52.846,23.986002,114.658005
52.586002,23.026001,114.40401
19.140001,50.170002,30.034002
18.892,49.972004,30.426
19.228,50.208004,30.350002
19.234001,50.226,29.400002
18.77,49.798004,29.416002
18.756,49.846,29.702002
54.466003,35.972,119.284004
54.426003,36.272003,119.662
54.438004,35.526,119.53001
54.430004,36.528,120.16401
54.442,37.414,120.600006
54.480003,36.622,120.51
25.414001,25.580002,141.546
26.174002,25.358002,141.632
25.710001,25.328001,142.166
27.914001,24.054,145.574
27.788002,24.222002,144.94
28.238,24.090002,145.20001
56.24,17.316,32.186
56.662003,17.314001,31.720001
56.606003,17.146,32.236
54.678,16.5,35.564003
